title,img,writer,price,uri
ΑΣΠΡΕΣ ΚΗΛΙΔΕΣ ΠΑΝΩ ΣΤΟ ΑΣΠΡΟ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3458.jpg,ΡΙΤΣΟΣ ΓΙΑΝΝΗΣ,"12,60 €|14,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/aspres-kilides-pano-sto-aspro.html
ΣΥΛΛΑΒΗ ΕΚΑΤΟ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3440.jpg,ΣΙΔΗΡΟΠΟΥΛΟΣ ΛΕΥΤΕΡΗΣ,"8,91 €|9,90 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/syllabi-ekato.html
ΕΝΝΕΑ ΜΗΝΕΣ ΣΤΗ ΦΟΡΜΟΛΗ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_6432_2.png,ΣΟΥΚΟΥΛΗΣ ΔΗΜΗΤΡΗΣ,"10,80 €|12,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/ennea-mines-sti-formoli.html
ΠΑΡΑΞΕΝΟΣ ΕΡΩΤΑΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_6433.png,ΚΑΡΙΖΩΝΗ ΚΑΤΕΡΙΝΑ,"10,80 €|12,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/paraxenos-erotas.html
ΔΕΚΑΔΙΚΟΣ ΡΥΘΜΟΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_6435.png,ΦΡΑΓΚΟΥΛΗΣ ΓΙΩΡΓΟΣ,"10,80 €|12,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/dekadikos-rythmos.html
ΠΟΙΗΜΑΤΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3425.jpg,ΒΕΜΗ ΜΠΙΛΗ,"15,30 €|17,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/poiimata-html-html-html-html-html-html-html-html-html.html
ΙΜΕΡΟΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3392.jpg,ΧΑΨΑ ΜΑΙΡΗ,"11,44 €|12,72 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/imeros.html
ΠΕΝΘΙΜΗ ΓΗ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3393.jpg,ΑΛΕΞΙΟΥ ΠΗΝΕΛΟΠΗ,"9,54 €|10,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/penthimi-gi.html
"ΥΠΟΛΟΓΙΣΜΟΙ ΑΠΟΣΤΑΣΗΣ, ΧΡΟΝΟΥ ΚΑΙ ΤΑΧΥΤΗΤΑΣ",https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3394.jpg,ΑΛΕΞΑΝΔΡΟΥ ΝΙΚΟΛΕΤΤΑ,"9,54 €|10,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/ypologismoi-apostasis-chronoy-kai-tachytitas.html
HUMUS... HUMUS,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/h/u/humus_humus.jpg,FUTORANSKY LUISA/ ΦΟΥΤΟΡΑΝΣΚΙ ΛΟΥΙΖΑ,"11,44 €|12,72 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/humus-humus.html
ΣΤΙΛΕΤΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_6388.png,ΝΙΚΗΤΑ ΔΑΦΝΗ,"9,00 €|10,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/stileta.html
ΓΡΟΘΙΕΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3341.jpg,ΓΕΡΟΝΤΑ ΚΩΝΣΤΑΝΤΙΑ,"9,00 €|10,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/grothies.html
